,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME,SUBDIVISON,OUTERPLANAR
68,34,52,1,Geant2009.graphml,1,16.0,16.0,16.0,0.021535396575927734,False,False
69,16,37,1,Airtel.graphml,1,8.0,8.0,8.0,0.021117448806762695,False,False
70,37,40,1,Myren.graphml,1,2.0,2.0,2.0,0.02193427085876465,True,False
71,13,12,1,Cesnet1999.graphml,0,0.0,0.0,0.0,0.003279447555541992,False,True
72,23,44,1,Belnet2006.graphml,1,5.0,5.0,5.0,0.005690813064575195,False,False
73,59,83,2,Garr201104.graphml,2,6.0,1.0,11.0,0.14765357971191406,False,False
74,18,17,1,Sago.graphml,0,0.0,0.0,0.0,0.0011630058288574219,False,True
75,27,36,2,Integra.graphml,2,5.5,2.0,9.0,0.015259981155395508,False,False
76,23,25,1,Garr199904.graphml,1,4.0,4.0,4.0,0.010775327682495117,False,False
77,26,49,2,Sunet.graphml,3,7.0,1.0,18.0,0.019186019897460938,False,False
78,54,71,2,Garr201003.graphml,2,5.0,1.0,9.0,0.12679553031921387,False,False
79,16,18,1,Garr199901.graphml,1,4.0,4.0,4.0,0.007304668426513672,False,False
80,23,23,1,Cesnet2001.graphml,0,0.0,0.0,0.0,0.007979393005371094,False,True
81,18,27,1,Pacificwave.graphml,1,3.0,3.0,3.0,0.004910707473754883,False,False
82,32,33,2,GtsCzechRepublic.graphml,2,1.5,1.0,2.0,0.015467166900634766,False,False
83,24,34,2,Xeex.graphml,2,5.0,2.0,8.0,0.014068603515625,False,False
84,73,97,3,Intellifiber.graphml,4,6.25,2.0,15.0,0.07914543151855469,False,False
85,15,15,1,HiberniaUk.graphml,0,0.0,0.0,0.0,0.001285552978515625,False,True
86,754,899,3,Kdl.graphml,11,18.636363636363637,1.0,185.0,17.665881156921387,False,False
87,67,113,2,Globenet.graphml,2,14.0,2.0,26.0,0.1257643699645996,False,False
88,54,71,2,Garr200902.graphml,2,5.0,1.0,9.0,0.12263655662536621,False,False
89,11,10,1,Itnet.graphml,0,0.0,0.0,0.0,0.0020492076873779297,False,True
90,41,59,1,Cernet.graphml,1,8.0,8.0,8.0,0.01405954360961914,True,False
91,56,75,1,Garr201012.graphml,1,9.0,9.0,9.0,0.11750340461730957,True,False
92,23,23,1,Istar.graphml,0,0.0,0.0,0.0,0.009009838104248047,False,True
93,55,72,1,Garr201005.graphml,1,9.0,9.0,9.0,0.1289963722229004,True,False
94,54,71,1,Garr201004.graphml,1,9.0,9.0,9.0,0.12395381927490234,True,False
95,18,25,1,Ans.graphml,1,10.0,10.0,10.0,0.0066683292388916016,True,False
96,7,8,1,Getnet.graphml,1,2.0,2.0,2.0,0.0021011829376220703,True,True
97,22,29,2,HiberniaUs.graphml,2,5.5,2.0,9.0,0.015576601028442383,False,False
98,36,41,1,Niif.graphml,1,5.0,5.0,5.0,0.03320193290710449,True,False
99,7,10,1,Netrail.graphml,1,3.0,3.0,3.0,0.0016007423400878906,False,True
100,25,24,1,Amres.graphml,0,0.0,0.0,0.0,0.0056188106536865234,False,True
101,4,4,1,Arpanet196912.graphml,0,0.0,0.0,0.0,0.0004324913024902344,False,True
102,24,37,1,BtEurope.graphml,1,6.0,6.0,6.0,0.009004592895507812,False,False
103,18,22,3,Arpanet19719.graphml,3,2.0,2.0,2.0,0.0050771236419677734,False,False
104,44,43,1,Carnet.graphml,0,0.0,0.0,0.0,0.02028346061706543,False,True
105,113,183,4,Deltacom.graphml,4,14.5,2.0,52.0,0.38165950775146484,False,False
106,82,82,1,Ulaknet.graphml,0,0.0,0.0,0.0,0.0756988525390625,False,True
107,20,20,1,Twaren.graphml,0,0.0,0.0,0.0,0.007911205291748047,False,True
108,65,79,1,AsnetAm.graphml,3,3.6666666666666665,2.0,7.0,0.07586407661437988,True,False
109,58,87,1,Dfn.graphml,1,20.0,20.0,20.0,0.04311084747314453,False,False
110,24,26,1,Garr200112.graphml,1,4.0,4.0,4.0,0.012273550033569336,False,False
111,7,6,1,Basnet.graphml,0,0.0,0.0,0.0,0.001210927963256836,False,True
112,44,51,1,Cesnet200706.graphml,1,6.0,6.0,6.0,0.06858325004577637,True,False
